date,state,fips,cases,deaths
2020-03-12,AK,2,1,0
2020-03-13,AK,2,1,0
2020-03-14,AK,2,1,0
2020-03-15,AK,2,1,0
2020-03-16,AK,2,3,0
2020-03-17,AK,2,6,0
2020-03-18,AK,2,9,0
2020-03-19,AK,2,12,0
2020-03-20,AK,2,14,0
2020-03-21,AK,2,21,0
2020-03-22,AK,2,22,0
2020-03-23,AK,2,36,0
2020-03-24,AK,2,42,0
2020-03-25,AK,2,59,0
2020-03-26,AK,2,69,0
2020-03-27,AK,2,85,1
2020-03-28,AK,2,102,1
2020-03-29,AK,2,114,1
2020-03-30,AK,2,119,2
2020-03-31,AK,2,133,2
2020-04-01,AK,2,143,2
2020-04-02,AK,2,146,2
2020-04-03,AK,2,156,2
2020-04-04,AK,2,169,3
2020-04-05,AK,2,185,4
2020-04-06,AK,2,189,4
2020-04-07,AK,2,211,4
2020-04-08,AK,2,224,5
2020-04-09,AK,2,233,5
2020-04-10,AK,2,244,5
2020-04-11,AK,2,255,6
2020-04-12,AK,2,270,6
2020-03-13,AL,1,6,0
2020-03-14,AL,1,12,0
2020-03-15,AL,1,23,0
2020-03-16,AL,1,29,0
2020-03-17,AL,1,39,0
2020-03-18,AL,1,51,0
2020-03-19,AL,1,78,0
2020-03-20,AL,1,106,0
2020-03-21,AL,1,131,0
2020-03-22,AL,1,157,0
2020-03-23,AL,1,196,0
2020-03-24,AL,1,242,0
2020-03-25,AL,1,386,1
2020-03-26,AL,1,538,3
2020-03-27,AL,1,639,4
2020-03-28,AL,1,720,4
2020-03-29,AL,1,830,5
2020-03-30,AL,1,947,11
2020-03-31,AL,1,999,13
2020-04-01,AL,1,1106,28
2020-04-02,AL,1,1270,32
2020-04-03,AL,1,1535,38
2020-04-04,AL,1,1633,44
2020-04-05,AL,1,1841,45
2020-04-06,AL,1,2006,53
2020-04-07,AL,1,2197,64
2020-04-08,AL,1,2499,67
2020-04-09,AL,1,2838,78
2020-04-10,AL,1,3008,80
2020-04-11,AL,1,3262,93
2020-04-12,AL,1,3583,93
2020-03-11,AR,5,1,0
2020-03-12,AR,5,6,0
2020-03-13,AR,5,7,0
2020-03-14,AR,5,9,0
2020-03-15,AR,5,16,0
2020-03-16,AR,5,22,0
2020-03-17,AR,5,22,0
2020-03-18,AR,5,33,0
2020-03-19,AR,5,62,0
2020-03-20,AR,5,100,0
2020-03-21,AR,5,118,0
2020-03-22,AR,5,165,0
2020-03-23,AR,5,201,0
2020-03-24,AR,5,232,2
2020-03-25,AR,5,308,2
2020-03-26,AR,5,351,3
2020-03-27,AR,5,386,3
2020-03-28,AR,5,409,5
2020-03-29,AR,5,449,6
2020-03-30,AR,5,508,7
2020-03-31,AR,5,564,8
2020-04-01,AR,5,624,10
2020-04-02,AR,5,683,12
2020-04-03,AR,5,738,12
2020-04-04,AR,5,743,14
2020-04-05,AR,5,853,16
2020-04-06,AR,5,927,16
2020-04-07,AR,5,997,18
2020-04-08,AR,5,1077,18
2020-04-09,AR,5,1146,21
2020-04-10,AR,5,1202,24
2020-04-11,AR,5,1228,25
2020-04-12,AR,5,1280,27
2020-04-09,AS,60,0,0
2020-04-10,AS,60,0,0
2020-04-11,AS,60,0,0
2020-04-12,AS,60,0,0
2020-01-26,AZ,4,1,0
2020-01-27,AZ,4,1,0
2020-01-28,AZ,4,1,0
2020-01-29,AZ,4,1,0
2020-01-30,AZ,4,1,0
2020-01-31,AZ,4,1,0
2020-02-01,AZ,4,1,0
2020-02-02,AZ,4,1,0
2020-02-03,AZ,4,1,0
2020-02-04,AZ,4,1,0
2020-02-05,AZ,4,1,0
2020-02-06,AZ,4,1,0
2020-02-07,AZ,4,1,0
2020-02-08,AZ,4,1,0
2020-02-09,AZ,4,1,0
2020-02-10,AZ,4,1,0
2020-02-11,AZ,4,1,0
2020-02-12,AZ,4,1,0
2020-02-13,AZ,4,1,0
2020-02-14,AZ,4,1,0
2020-02-15,AZ,4,1,0
2020-02-16,AZ,4,1,0
2020-02-17,AZ,4,1,0
2020-02-18,AZ,4,1,0
2020-02-19,AZ,4,1,0
2020-02-20,AZ,4,1,0
2020-02-21,AZ,4,1,0
2020-02-22,AZ,4,1,0
2020-02-23,AZ,4,1,0
2020-02-24,AZ,4,1,0
2020-02-25,AZ,4,1,0
2020-02-26,AZ,4,1,0
2020-02-27,AZ,4,1,0
2020-02-28,AZ,4,1,0
2020-02-29,AZ,4,1,0
2020-03-01,AZ,4,1,0
2020-03-02,AZ,4,1,0
2020-03-03,AZ,4,2,0
2020-03-04,AZ,4,2,0
2020-03-05,AZ,4,2,0
2020-03-06,AZ,4,3,0
2020-03-07,AZ,4,5,0
2020-03-08,AZ,4,5,0
2020-03-09,AZ,4,6,0
2020-03-10,AZ,4,6,0
2020-03-11,AZ,4,9,0
2020-03-12,AZ,4,9,0
2020-03-13,AZ,4,9,0
2020-03-14,AZ,4,12,0
2020-03-15,AZ,4,13,0
2020-03-16,AZ,4,18,0
2020-03-17,AZ,4,20,0
2020-03-18,AZ,4,28,0
2020-03-19,AZ,4,47,0
2020-03-20,AZ,4,70,1
2020-03-21,AZ,4,104,1
2020-03-22,AZ,4,153,2
2020-03-23,AZ,4,234,2
2020-03-24,AZ,4,326,6
2020-03-25,AZ,4,402,6
2020-03-26,AZ,4,508,8
2020-03-27,AZ,4,665,15
2020-03-28,AZ,4,773,15
2020-03-29,AZ,4,929,18
2020-03-30,AZ,4,1169,20
2020-03-31,AZ,4,1298,24
2020-04-01,AZ,4,1413,29
2020-04-02,AZ,4,1600,35
2020-04-03,AZ,4,1769,41
2020-04-04,AZ,4,2019,53
2020-04-05,AZ,4,2269,64
2020-04-06,AZ,4,2465,67
2020-04-07,AZ,4,2575,77
2020-04-08,AZ,4,2726,80
2020-04-09,AZ,4,3018,89
2020-04-10,AZ,4,3112,97
2020-04-11,AZ,4,3393,112
2020-04-12,AZ,4,3539,117
2020-01-25,CA,6,1,0
2020-01-26,CA,6,2,0
2020-01-27,CA,6,2,0
2020-01-28,CA,6,2,0
2020-01-29,CA,6,2,0
2020-01-30,CA,6,2,0
2020-01-31,CA,6,3,0
2020-02-01,CA,6,3,0
2020-02-02,CA,6,6,0
2020-02-03,CA,6,6,0
2020-02-04,CA,6,6,0
2020-02-05,CA,6,6,0
2020-02-06,CA,6,6,0
2020-02-07,CA,6,6,0
2020-02-08,CA,6,6,0
2020-02-09,CA,6,6,0
2020-02-10,CA,6,7,0
2020-02-11,CA,6,7,0
2020-02-12,CA,6,7,0
2020-02-13,CA,6,7,0
2020-02-14,CA,6,7,0
2020-02-15,CA,6,7,0
2020-02-16,CA,6,7,0
2020-02-17,CA,6,7,0
2020-02-18,CA,6,7,0
2020-02-19,CA,6,7,0
2020-02-20,CA,6,8,0
2020-02-21,CA,6,9,0
2020-02-22,CA,6,9,0
2020-02-23,CA,6,9,0
2020-02-24,CA,6,11,0
2020-02-25,CA,6,11,0
2020-02-26,CA,6,26,0
2020-02-27,CA,6,26,0
2020-02-28,CA,6,27,0
2020-02-29,CA,6,28,0
2020-03-01,CA,6,33,0
2020-03-02,CA,6,38,0
2020-03-03,CA,6,45,0
2020-03-04,CA,6,55,1
2020-03-05,CA,6,67,1
2020-03-06,CA,6,81,1
2020-03-07,CA,6,100,1
2020-03-08,CA,6,112,1
2020-03-09,CA,6,172,2
2020-03-10,CA,6,179,3
2020-03-11,CA,6,202,4
2020-03-12,CA,6,252,4
2020-03-13,CA,6,320,5
2020-03-14,CA,6,381,5
2020-03-15,CA,6,478,6
2020-03-16,CA,6,588,11
2020-03-17,CA,6,732,14
2020-03-18,CA,6,893,17
2020-03-19,CA,6,1067,19
2020-03-20,CA,6,1283,24
2020-03-21,CA,6,1544,28
2020-03-22,CA,6,1851,35
2020-03-23,CA,6,2240,39
2020-03-24,CA,6,2644,52
2020-03-25,CA,6,3183,67
2020-03-26,CA,6,4060,82
2020-03-27,CA,6,4914,102
2020-03-28,CA,6,5565,121
2020-03-29,CA,6,6266,130
2020-03-30,CA,6,7421,146
2020-03-31,CA,6,8582,183
2020-04-01,CA,6,9816,212
2020-04-02,CA,6,11190,247
2020-04-03,CA,6,12569,282
2020-04-04,CA,6,13796,323
2020-04-05,CA,6,15076,349
2020-04-06,CA,6,16284,386
2020-04-07,CA,6,17540,447
2020-04-08,CA,6,19043,506
2020-04-09,CA,6,20191,548
2020-04-10,CA,6,21366,594
2020-04-11,CA,6,22421,632
2020-04-12,CA,6,23323,676
2020-03-05,CO,8,2,0
2020-03-06,CO,8,8,0
2020-03-07,CO,8,8,0
2020-03-08,CO,8,8,0
2020-03-09,CO,8,12,0
2020-03-10,CO,8,17,0
2020-03-11,CO,8,34,0
2020-03-12,CO,8,49,1
2020-03-13,CO,8,78,2
2020-03-14,CO,8,103,2
2020-03-15,CO,8,136,2
2020-03-16,CO,8,161,2
2020-03-17,CO,8,183,3
2020-03-18,CO,8,216,3
2020-03-19,CO,8,278,5
2020-03-20,CO,8,364,5
2020-03-21,CO,8,475,6
2020-03-22,CO,8,591,7
2020-03-23,CO,8,721,10
2020-03-24,CO,8,912,11
2020-03-25,CO,8,1086,19
2020-03-26,CO,8,1432,24
2020-03-27,CO,8,1735,31
2020-03-28,CO,8,2061,44
2020-03-29,CO,8,2315,47
2020-03-30,CO,8,2628,51
2020-03-31,CO,8,2990,69
2020-04-01,CO,8,3346,80
2020-04-02,CO,8,3728,96
2020-04-03,CO,8,4182,110
2020-04-04,CO,8,4574,126
2020-04-05,CO,8,4950,140
2020-04-06,CO,8,5172,150
2020-04-07,CO,8,5429,179
2020-04-08,CO,8,5655,192
2020-04-09,CO,8,6202,227
2020-04-10,CO,8,6510,253
2020-04-11,CO,8,6893,274
2020-04-12,CO,8,7303,290
2020-03-08,CT,9,1,0
2020-03-09,CT,9,2,0
